Which category does the property fall under?,What will the project consist of?,What is the intended material for the fence or gate?,What is the desired height of the fence?,What is the estimated length of the fence?,How many access gates are to be included in the fence design?,Should the professional be responsible for supplying the materials?,Please indicate any supplementary fence-related services you may need?,When would you like the work to start?,How likely are you to hire a professional?,Additional Details
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,No - I will be providing the materials myself,Fence and/or gate painting,As soon as possible,I'm leaning towards hiring someone,Replace existing fence with one gate 50 to 60 ft long
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,Looking for someone to install a gate in a back garden
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Fix/replace garden fence
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,4 feet (1.2 meters),Unsure,Two gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,New fence and gates
Detached - semi-detached or terraced house,Installation of a new fence,Aluminium,Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),More than 300 feet (over 90 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,end of month getting it done would be good at all decent prices of course
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),Two gates,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Steel,6 feet (1.8 meters),200-300 feet (60-90 meters),Two gates,Yes - I would like the professional to supply the materials,Wood staining,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,As advised by a qualified professional,6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,Wood staining,I'm flexible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Need quote first,I'm still researching and exploring options,
Part of the garden,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,I have part of my fence attached to hedges and thy part is open I need a solution on either putting new fence panels I am open to suggestions
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm leaning towards hiring someone,Two sides of garden . I have metal fencing ( like roadside) . Fence would need to be secured onto that .
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm certain I'll be hiring someone,remove existing and supply and install new one
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,Two gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,Just bought new property looking at a quote for secure fencing around small garden a gate already in place but looking at something higher and stronger
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),8 feet (2.4 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,I need hedges dug up an removed an a tree so the fence can be put in.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm leaning towards hiring someone,About 4 panels and posts plus gate
Detached - semi-detached or terraced house,Replacement of the existing fence,Steel,4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,I need an old wire and concrete post front garden fence removed and a nice picket fence installed
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,"Fence between neighbour, currently have 3ft fence in place"
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,Fit a straight 15m fence.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm ready to hire immediately,I’ve had trees removed on the border between mine & my neighbours Detached - semi-detached or terraced house and need about 12 to 15 ft of fencing erecting to match some existing fencing asap as I have a dog and need him confined to the garden.  I would like this done preferably in the next couple of weeks
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,Create planting area,Within the next few weeks,I'm ready to hire immediately,Landscape the garden With new fences and raised flower beds
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,I after someone to fit a double gate at the side of my Detached - semi-detached or terraced house
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Application of sealant,As soon as possible,I'm ready to hire immediately,Need 2 bespoke size panels and 1 panel 3 ft x 5ft
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Looking
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,Fence and gate to side access of Detached - semi-detached or terraced house 8 ft approx gap (3ft wide gate 5-6. Ft high with 5ft wide fence and posts aprox)
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Replacing damaged fence
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new gate,As advised by a qualified professional,7 feet (2.1 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Not panels
Detached - semi-detached or terraced house,Install new fence and replace existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I might hire someone,We have a 3’ fence at the moment we would like that replaced and the fence extended up the rest of the garden to total fence height including gravel boards to 5’ with one gate. We need a price for this with fitting. Thank you.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),More than 300 feet (over 90 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,Nothing
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I might hire someone,Repair
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I might hire someone,I just want fench to stop dog going on my garden with gate
Single-story home (Bungalow),Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,Between 07/04 - 12/04,I'm certain I'll be hiring someone,
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Remove old fencing,Within the next few weeks,I'm certain I'll be hiring someone,Have 2 fence panels need replacing at present
Apartment or flat,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm still researching and exploring options,Dont contact me Im just looking. I will call you
Mobile home,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,6ft high x 60ft
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,I’m looking to replace my old fence and gate.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Composite materials,4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing gate,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Fence and/or gate painting,I'm flexible,I might hire someone,
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,Need 4 panels a 3 posts replacing
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,Removing existing hedge,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm certain I'll be hiring someone,I need 4 fence panels putting up
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,Less than 4 feets (under 1.2 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Advice needed
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,No - I will be providing the materials myself,No additional services required,I'm flexible,I might hire someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,"Application of sealant, Wood staining",I'm flexible,I'm still researching and exploring options,"Simple panel garden fence, 1 gate"
Apartment or flat,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,Looking for fence to be fixed
Business or commercial property,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,Fence and/or gate painting,I'm flexible,I'm certain I'll be hiring someone,"Total 9 panels , 2 or 3 need replacement while other need repairing"
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,The length of the drive is 49ft 11inch
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),Greater than 8 feet (over 2.4 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Apartment or flat,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,fence posts are still sturdy and in good condition apart from two i think will need resetting
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Wood staining,As soon as possible,I'm ready to hire immediately,the style is raked to match the other side on an incline
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm still researching and exploring options,Need the privacy panels replacing and old fence taken away.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Replacement of 2 sides of 3 foot fences for 6 foot fences
Apartment or flat,Replacement of the existing fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,No - I will be providing the materials myself,No additional services required,Within the next few weeks,I might hire someone,alread a fence there but ierther a new one or a godfarther
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm ready to hire immediately,
Detached - semi-detached or terraced house,replace an existing patio fence,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I'm leaning towards hiring someone,I would like a patio fence renewed and replaced.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,6foot fence..20 foot long.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),8 feet (2.4 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,For garden fencing
Detached - semi-detached or terraced house,replace existing patio fence.,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I'm leaning towards hiring someone,I would like a quote for for replacing existing patio fence.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,Wood staining,I'm flexible,I'm certain I'll be hiring someone,"The top of quite a narrow fence panel has broken off, quite brittle and old."
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,Fence and/or gate painting,Within the next few months,I'm certain I'll be hiring someone,Looking for someone to install a fence end of June and if possible put up a shed before June
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Depends on costs involved - we have builder in family who could order for us,No additional services required,Within the next few weeks,I'm ready to hire immediately,
Single-story home (Bungalow),Replacement of the existing gate,Wrought iron,5 feet (1.5 meters),Unsure,Three gates,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,To remove supply and fit new cast iron if possible. Driveway gates
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,Cutting out the ivy,Within the next few months,I'm still researching and exploring options,Am looking for quotes for fences extra work required to cut down the overgrown ivy plus removal of all replaced fences .
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),"3 panels replaced, 5 wooden posts",No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Repair garden fence
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),8 feet (2.4 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,Garden fence
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Front fence
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,50-100 feet (15-30 meters),10,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,All the fence panels replacing may need to put the base and metal poles in place again. Also to remove the waste
Business or commercial property,Installation of a new fence,As advised by a qualified professional,As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,fencing around Business or commercial property
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,As advised by a qualified professional,Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,We would like to know the option provided by the professional
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,Got back wall had all ivy taken off wud like  2 replace with fence plz no gates
Apartment or flat,Installation of a new fence,As advised by a qualified professional,4 feet (1.2 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,I require fencing
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Looking at getting front garden fenced in plus new gate installed. There’s currently a low wall around property so thinking that fence could be installed above it.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),320ft,5,No - I will be providing the materials myself,Post changed,Within the next few months,I'm leaning towards hiring someone,I would like to change my fence painel 10 metres linear and also replace the wooden postes for a concrete postes
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Paintings,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,No - I will be providing the materials myself,Fence and/or gate painting,Within the next few weeks,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,"To supply and fix 53ft of 6ft high close boarded panels all on 6in high concrete gravel board under panel making total height 6ft,6in all on 9ft long 4in x 4in concrete slotted posts set 2ft in concrete. Also to cut panel over the top of the brick well."
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,The joining property is lower and will require 2 gravel boards with a 4ft high panel and needs  a corner post
Single-story home (Bungalow),Install four new existing fence panels into an existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm ready to hire immediately,I have four new 6x6ft lap panels that needed to replace existing broken panel.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,Boarder fence required around property
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,planting,I'm flexible,I'm certain I'll be hiring someone,
