What kind of property is this for?,Which best describes your situation?,What kind of work do you need help with?,How big is the area where the work will happen?,What material do you want the patio to be made of?,When would you like the work to start?,Are you interested in hearing about financing options?,Additional Details
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,"Tiles, I'd like to talk to a professional about options",Within 3 months,,"Gazebo to be assembled on top of a new base, wood and materials for gazebo already purchased, tiles, mot, cement already purchased. metres 4 x 3 plus gazebo plus surrounding border, guttering, etc to be added as per quote"
,I currently own the property,"Take out an existing patio, Remove and replace a patio",Medium - space for a table and some chairs,Tiles,I'm flexible,,
,I currently own the property,Repair a existing patio,Large,Stone,Within 2 weeks,,Repair  and fix patio
,I currently own the property,"Build a brand-new patio, Repair a existing patio",Medium - space for a table and some chairs,Tiles,I'm flexible,,"I have a patio, 5x8 patio squares that need replacing following damage and I'm looking for quotes"
,I currently own the property,"Build a brand-new patio, Remove and replace a patio",two areas both small for access only,I'd like to talk to a professional about options,I'm flexible,No,
,I currently own the property,Remove and replace a patio,Medium - space for a table and some chairs,I'd like to talk to a professional about options,Within a month,No,To replace smallish patio area.. take away existing slabs.
,I currently own the property,Remove and replace a patio,Medium - space for a table and some chairs,Slabs,Immediately,,
,I'm in the process of buying the property,Build a brand-new patio,Small - just enough space for a few chairs,I'd like to talk to a professional about options,Within 2 weeks,No,
,I currently own the property,Remove and replace a patio,Large,Slabs,Within a month,,
,I currently own the property,Remove and replace a patio,Large,Slabs,Within a month,,Changing garden slabs
A house,I currently own the property,Make an existing patio bigger,Large,Tiles,I'm flexible,Yes,
,I currently own the property,"Build a brand-new patio, Add pathways, Add steps, Take out an existing patio",Large,Tiles,Within a month,No,New patio with a small across
A house,I currently own the property,Install new decking,Medium - space for a table and some chairs,Tiles,I'm flexible,,
,I currently own the property,Build a brand-new patio,Large,Slabs,Within 3 months,,Slab patio raised bed
,I'm renting the property,Build a brand-new patio,Medium - space for a table and some chairs,I'd like to talk to a professional about options,Not sure just want a quote,,
,I'm renting the property,Build a brand-new patio,Large,Slabs,Immediately,,Hi I have got 60 slabs 600 by 600 to go down in the back garden what would you charge to fit supply sand cement dry mix the size would be 10 slabs by six slabs thank you
,I'm renting the property,Build a brand-new patio,Large,I'd like to talk to a professional about options,I'm flexible,,I'm looking to lay slab on most of the area in the picture
,I'm renting the property,Build a brand-new patio,Medium - space for a table and some chairs,"Slabs, I don't know",I'm flexible,No,
A bungalow,I currently own the property,Remove and replace a patio,Large,Slabs,Immediately,,"porcelain patio to be laid, there is existing slabs which could be used for sub base. also current wall to be rendered and planters plus small steps. A house is in Westdene, Brighton"
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,"Tiles, I'd like to talk to a professional about options",Within 3 months,,"Gazebo to be assembled on top of a new base, wood and materials for gazebo already purchased, tiles, mot, cement already purchased. metres 4 x 3 plus gazebo plus surrounding border, guttering, etc to be added as per quote"
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,Slabs,Within a month,No,
,I currently own the property,Remove and replace a patio,Extra large - big enough for lots of furniture,Slabs,I'm flexible,,I have a flat patio that I would like to replace and extend with new slabs
,I currently own the property,"Build a brand-new patio, Make an existing patio bigger, Take out an existing patio, Remove and replace a patio",Large,"Stone, I'd like to talk to a professional about options",I'm flexible,,Existing patio isn't great… previous owner has added own slabs and it's uneven would like to have fresh new patio down.
,I currently own the property,Build a brand-new patio,Small - just enough space for a few chairs,Slabs,Within a month,Yes,Small patio at end of garden
,I'm renting the property,Build a brand-new patio,Large,Slabs,Immediately,,Got a landscaper in to do my daughters back garden and he totally made a mess so sacked him .need to lift the patio and relay it properly
A bungalow,I'm in the process of buying the property,Build a brand-new patio,Medium - space for a table and some chairs,Slabs,Within a week,,
,I currently own the property,"Build a brand-new patio, Add steps",Large,Slabs,I'm flexible,,I am ripping out my decking as it is rotten and would like an idea of how much it would cost to have a patio laid instead
,I currently own the property,Build a brand-new patio,Large,Tiles,Within 2 weeks,,Patio is prepared and ready for paying.
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,Tiles,Within a month,,Medium size patio
,I currently own the property,Make an existing patio bigger,Large,Slabs,Within 3 months,,Nothing
,I currently own the property,Remove and replace a patio,Large,Slabs,I'm flexible,,
,I currently own the property,Remove and replace a patio,Large,Concrete,Within a week,,
,I currently own the property,"Install new decking, Build a brand-new patio, Add pathways, Add steps",Medium - space for a table and some chairs,"Slabs, Stone",Within 3 months,,Back garden
,I currently own the property,Install new decking,Large,Brick,Immediately,,Gardening
,I currently own the property,Install new decking,Medium - space for a table and some chairs,Wood (such as decking),Within a month,,
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,Tiles,Immediately,,
,I currently own the property,Remove and replace a patio,Large,I'd like to talk to a professional about options,I'm flexible,,
,I currently own the property,"Build a brand-new patio, Add pathways, Looking for patio plus path way and edgings for large garden",Large,"Slabs, I'd like to talk to a professional about options",Immediately,,I'm looking for a patio and pathway plus other things to discuss with contractor when viewing the property
A house,I currently own the property,Build a brand-new patio,Large,I'd like to talk to a professional about options,Immediately,,PATIO 1/ level and compact stone sub base ready for screed 2/ lay new aco channels across back of A house and connect in to storm drains 3/ screed patio area to level ready for tiles by others
A house,I currently own the property,Remove and replace a patio,Large,I'd like to talk to a professional about options,Within a month,,
,I currently own the property,"Install new decking, Repair a existing patio, Remove and replace a patio",Medium - space for a table and some chairs,"Slabs, Wood (such as decking)",Within 2 weeks,,"We need someone to help us relay some paving slabs on our patio (6 large slab tiles), level ground and add gravel on the border line. Also want to get a quote to add planter boxes and adding a wooden wall panel between us and neighbors"
,I currently own the property,Repair a existing patio,Medium - space for a table and some chairs,"Tiles, I'd like to talk to a professional about options",Immediately,,I need to replace 6 tiles and re-grout this area
,I currently own the property,"Build a brand-new patio, Add steps",Medium - space for a table and some chairs,I'd like to talk to a professional about options,Immediately,,
,I currently own the property,Make an existing patio bigger,Medium - space for a table and some chairs,Slabs,I'm flexible,,Extension to existing patio with gabion bench
,I'm renting the property,Build a brand-new patio,Large,"Concrete, Slabs",Within a month,,Need my garden levelled and paved.
A house,I currently own the property,Remove and replace a patio,Large,"Concrete, Slabs, Stone, Tiles",I'm flexible,,
,I currently own the property,"Take out an existing patio, Remove and replace a patio",Medium - space for a table and some chairs,I don't know,I'm flexible,,Remove existing flags and lay patio area with new paving flags.
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,"Slabs, Stone, Tiles",I'm flexible,,
,I'm renting the property,Build a brand-new patio,18m2,Slabs,I'm flexible,,Looking 18m2 patio in plan concrete slab nothing fancy. It's going to replace a grassed area.
,I currently own the property,Build a brand-new patio,Medium - space for a table and some chairs,"I don't know, I'd like to talk to a professional about options",Immediately,,
,I currently own the property,"Build a brand-new patio, Add pathways",Medium - space for a table and some chairs,Slabs,Within a month,,
,I currently own the property,"Build a brand-new patio, Take out an existing patio",Large,I'd like to talk to a professional about options,Within 2 weeks,,Patio area surrounding park home . Path .
,I currently own the property,Make an existing patio bigger,Small - just enough space for a few chairs,Slabs,Within 2 weeks,,Just a small extension to existing patio
,I currently own the property,"Build a brand-new patio, Add pathways",Medium - space for a table and some chairs,I'd like to talk to a professional about options,Within a month,,
,I currently own the property,Remove and replace a patio,Medium - space for a table and some chairs,I'd like to talk to a professional about options,Immediately,,Need new patio and existing removed
,I'm renting the property,"Install new decking, Build a brand-new patio",Medium - space for a table and some chairs,Slabs,Within 3 months,,I had a summerhouse installed and looking for either decking or a patio in front of it (price dependant). I also have a smaller area of patio that needs repairing.
,I currently own the property,"Build a brand-new patio, Remove and replace a patio",Medium - space for a table and some chairs,"I don't know, I'd like to talk to a professional about options",I'm flexible,,"Removing 2 small-medium size trees and redesigning simple garden area, including putting up patio."
A house,I currently own the property,Build a brand-new patio,Large,I'd like to talk to a professional about options,Within a month,,
,I currently own the property,"Add pathways, Make an existing patio bigger, Repair a existing patio",Medium - space for a table and some chairs,"Slabs, Stone",I'm flexible,,To extend paths and patio
,I currently own the property,Garden makeover,Medium - space for a table and some chairs,I'd like to talk to a professional about options,Within a week,,It's a small garden on the back of property and we want a makeover
A house,I currently own the property,"Make an existing patio bigger, Repair a existing patio",Medium - space for a table and some chairs,Slabs,I'm flexible,,
,I currently own the property,"Build a brand-new patio, Take out an existing patio",Large,I'd like to talk to a professional about options,Within a month,,
